mo_id,criminal_id,crime_type,entry_method,escape_method,target_selection,crime_timing,weapon_used,dress_pattern,communication_method,vehicle_used,accomplice_count,victim_selection,planning_level,technology_used,repeat_pattern,special_notes
5183,CRM-IND-05183,Extortion,Fire escape,Hiding in crowd,Isolated houses,Evening (6PM-9PM),Hammer,Helmet and visor,Prepaid SIM,Bicycle,3,College students,Moderately Planned,None,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Non-violent offender. No gang affiliation.
5184,CRM-IND-05184,Sexual Offense,Wall breach,Bike escape,Street vendors,Evening (6PM-9PM),Axe,Uniform disguise,Telegram,Motorcycle,4,Offices after hours,Opportunistic,None,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. White Collar offender. No gang affiliation.
5185,CRM-IND-05185,Murder,Window break,Auto rickshaw,Construction sites,Late night (11PM-3AM),Machete,Sports wear,WhatsApp,Stolen vehicle,2,College students,Professional,Fake documents,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. White Collar offender. Gang affiliated: Iron Fist.
5186,CRM-IND-05186,Assault,Lock picking,Train,Banks,Dusk,Cricket Bat,Workman overalls,Hand signals,Van,3,IT parks,Highly Planned,None,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
5187,CRM-IND-05187,Robbery,Fire escape,Taxi,Construction sites,Midnight,Machete,Sports wear,Prepaid SIM,Stolen vehicle,6,IT parks,Impulsive,Hacking tools,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Habitual Offender offender. No gang affiliation.
5188,CRM-IND-05188,Murder,Door break,Bike escape,Banks,Late night (11PM-3AM),Sword,Sports wear,WhatsApp,Motorcycle,0,Parked vehicles,Moderately Planned,None,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as High risk. White Collar offender. No gang affiliation.
5189,CRM-IND-05189,Drug Offense,Lock picking,Taxi,College students,Late night (11PM-3AM),Knife,Dark clothing,Face to face,Motorcycle,6,Street vendors,Impulsive,Night vision,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. White Collar offender. No gang affiliation.
5190,CRM-IND-05190,Fraud,Window break,Hiding in crowd,Jewelry shops,Evening (6PM-9PM),Axe,Workman overalls,Hand signals,On foot,0,Street vendors,Professional,GPS tracker,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. White Collar offender. No gang affiliation.
5191,CRM-IND-05191,Extortion,Wall breach,Train,Festival crowds,Evening (6PM-9PM),None,Sports wear,Coded language,Tempo,6,Jewelry shops,Impulsive,Lock pick set,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Non-violent offender. No gang affiliation.
5192,CRM-IND-05192,Extortion,Wall breach,On foot,Jewelry shops,Early morning (3AM-6AM),Sword,Workman overalls,Signal,Tempo,3,Women walking alone,Impulsive,None,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Habitual Offender offender. No gang affiliation.
5193,CRM-IND-05193,Murder,Key duplication,Auto rickshaw,Parked vehicles,Late night (11PM-3AM),Hammer,Black hoodie,Coded language,Truck,4,College students,Professional,Night vision,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
5194,CRM-IND-05194,Sexual Offense,Not applicable,Taxi,Isolated houses,Late night (11PM-3AM),Cricket Bat,Workman overalls,Coded language,Van,2,IT parks,Impulsive,Skeleton keys,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. White Collar offender. Gang affiliated: Wagh Mandali.
5195,CRM-IND-05195,Cybercrime,Door break,Auto rickshaw,Offices after hours,Late night (11PM-3AM),Cricket Bat,Formal attire,Hand signals,Tempo,0,Women walking alone,Highly Planned,Fake documents,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Violent offender. Gang affiliated: Red Hand.
5196,CRM-IND-05196,Kidnapping,Front door,Bike escape,Banks,Dusk,Pistol,Black hoodie,Face to face,Stolen vehicle,1,Parked vehicles,Highly Planned,Lock pick set,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Habitual Offender offender. No gang affiliation.
5197,CRM-IND-05197,Murder,Lock picking,Car escape,Offices after hours,Early morning (3AM-6AM),Hammer,Workman overalls,WhatsApp,On foot,4,Women walking alone,Moderately Planned,None,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Habitual Offender offender. No gang affiliation.
5198,CRM-IND-05198,Assault,Back door,Through lanes,IT parks,Evening (6PM-9PM),None,Workman overalls,Prepaid SIM,Van,5,Street vendors,Opportunistic,Skeleton keys,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Habitual Offender offender. Gang affiliated: Patil Toli.
5199,CRM-IND-05199,Murder,Not applicable,Car escape,Banks,Dusk,Cricket Bat,Black hoodie,Telegram,On foot,4,Offices after hours,Opportunistic,Lock pick set,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
5200,CRM-IND-05200,Cybercrime,Roof entry,Through lanes,Isolated houses,Afternoon (12PM-3PM),Sword,Dark clothing,Coded language,Van,6,Elderly people,Highly Planned,GPS tracker,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Habitual Offender offender. No gang affiliation.
5201,CRM-IND-05201,Murder,Fire escape,Through lanes,Festival crowds,Afternoon (12PM-3PM),Knife,Black hoodie,Prepaid SIM,Car,0,Jewelry shops,Moderately Planned,Lock pick set,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Habitual Offender offender. No gang affiliation.
5202,CRM-IND-05202,Kidnapping,Front door,Train,Women walking alone,Dawn,Sword,Black hoodie,Signal,Truck,0,Elderly people,Opportunistic,GPS tracker,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Habitual Offender offender. No gang affiliation.
5203,CRM-IND-05203,Murder,Key duplication,On foot,Offices after hours,Morning (6AM-10AM),Sword,Workman overalls,Hand signals,Truck,3,Parked vehicles,Impulsive,None,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Violent offender. Gang affiliated: Wagh Mandali.
5204,CRM-IND-05204,Extortion,Lock picking,Train,Jewelry shops,Midnight,Hammer,Black hoodie,WhatsApp,Stolen vehicle,0,College students,Opportunistic,Lock pick set,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Non-violent offender. No gang affiliation.
5205,CRM-IND-05205,Cybercrime,Not applicable,Hiding in crowd,Jewelry shops,Morning (6AM-10AM),None,Black hoodie,Prepaid SIM,Tempo,6,Offices after hours,Impulsive,Night vision,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as High risk. White Collar offender. No gang affiliation.
5206,CRM-IND-05206,Assault,Back door,On foot,Elderly people,Midnight,None,Uniform disguise,Coded language,Van,2,Women walking alone,Opportunistic,None,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as High risk. White Collar offender. Gang affiliated: Steel Vipers.
5207,CRM-IND-05207,Fraud,Not applicable,Through lanes,Offices after hours,Evening (6PM-9PM),Sword,Sports wear,Telegram,Truck,6,Women walking alone,Opportunistic,None,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Habitual Offender offender. No gang affiliation.
5208,CRM-IND-05208,Fraud,Back door,Train,Offices after hours,Early morning (3AM-6AM),None,Helmet and visor,WhatsApp,Van,5,Street vendors,Opportunistic,None,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. White Collar offender. No gang affiliation.
5209,CRM-IND-05209,Theft,Not applicable,Bike escape,Elderly people,Morning (6AM-10AM),Hammer,Helmet and visor,Prepaid SIM,Car,0,College students,Highly Planned,Night vision,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. White Collar offender. No gang affiliation.
5210,CRM-IND-05210,Fraud,Front door,Hiding in crowd,Construction sites,Early morning (3AM-6AM),Hammer,Sports wear,Prepaid SIM,Motorcycle,0,College students,Opportunistic,None,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
5211,CRM-IND-05211,Sexual Offense,Front door,Bus,Women walking alone,Late night (11PM-3AM),Iron Rod,Sports wear,Hand signals,Truck,2,Banks,Moderately Planned,GPS tracker,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Habitual Offender offender. Gang affiliated: Snake Eyes.
5212,CRM-IND-05212,Assault,Not applicable,Hiding in crowd,IT parks,Dawn,Machete,Casual clothes,Prepaid SIM,Van,5,Construction sites,Professional,None,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Habitual Offender offender. No gang affiliation.
5213,CRM-IND-05213,Sexual Offense,Window break,Taxi,Parked vehicles,Afternoon (12PM-3PM),Knife,Formal attire,Signal,Stolen vehicle,1,Banks,Opportunistic,Night vision,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Non-violent offender. No gang affiliation.
5214,CRM-IND-05214,Drug Offense,Fire escape,Train,College students,Evening (6PM-9PM),Iron Rod,Helmet and visor,Face to face,Tempo,2,Isolated houses,Highly Planned,GPS tracker,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. White Collar offender. No gang affiliation.
5215,CRM-IND-05215,Murder,Back door,Auto rickshaw,ATMs,Evening (6PM-9PM),Sword,Sports wear,WhatsApp,Bicycle,1,Construction sites,Opportunistic,None,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. No gang affiliation.
5216,CRM-IND-05216,Murder,Wall breach,Hiding in crowd,Jewelry shops,Morning (6AM-10AM),Iron Rod,Face mask and cap,Coded language,Motorcycle,4,Banks,Professional,Skeleton keys,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. White Collar offender. No gang affiliation.
5217,CRM-IND-05217,Sexual Offense,Back door,On foot,Banks,Afternoon (12PM-3PM),None,Uniform disguise,Signal,Bicycle,1,Jewelry shops,Opportunistic,Hacking tools,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Non-violent offender. No gang affiliation.
5218,CRM-IND-05218,Theft,Fire escape,Taxi,Banks,Late night (11PM-3AM),Cricket Bat,Sports wear,Face to face,Motorcycle,4,Women walking alone,Moderately Planned,None,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Violent offender. Gang affiliated: Cobra Unit.
5219,CRM-IND-05219,Drug Offense,Back door,On foot,Elderly people,Afternoon (12PM-3PM),Chain,Formal attire,Coded language,Stolen vehicle,1,Banks,Professional,Lock pick set,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as High risk. White Collar offender. No gang affiliation.
5220,CRM-IND-05220,Drug Offense,Key duplication,Through lanes,Festival crowds,Evening (6PM-9PM),Axe,Dark clothing,Face to face,Motorcycle,5,ATMs,Highly Planned,Lock pick set,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. Gang affiliated: Shinde Group.
5221,CRM-IND-05221,Assault,Wall breach,Through lanes,IT parks,Midnight,Knife,Workman overalls,Face to face,Car,2,Women walking alone,Opportunistic,GPS tracker,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Non-violent offender. No gang affiliation.
5222,CRM-IND-05222,Robbery,Door break,Through lanes,Women walking alone,Midnight,None,Face mask and cap,Prepaid SIM,Car,0,Women walking alone,Highly Planned,Fake documents,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Habitual Offender offender. No gang affiliation.
5223,CRM-IND-05223,Theft,Key duplication,On foot,Festival crowds,Morning (6AM-10AM),Chain,Face mask and cap,Telegram,Van,5,College students,Moderately Planned,None,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. Gang affiliated: Iron Fist.
5224,CRM-IND-05224,Extortion,Roof entry,Taxi,Parked vehicles,Afternoon (12PM-3PM),Hammer,Formal attire,Face to face,Motorcycle,3,IT parks,Professional,None,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Organized Crime offender. Gang affiliated: Fire Eagles.
5225,CRM-IND-05225,Extortion,Not applicable,Car escape,Elderly people,Afternoon (12PM-3PM),Chain,Formal attire,Coded language,Truck,4,Offices after hours,Impulsive,None,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
5226,CRM-IND-05226,Robbery,Key duplication,Train,Women walking alone,Midnight,Chain,Helmet and visor,Coded language,Car,6,Women walking alone,Opportunistic,Fake documents,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. No gang affiliation.
5227,CRM-IND-05227,Cybercrime,Lock picking,Bike escape,Elderly people,Evening (6PM-9PM),Sword,Helmet and visor,Signal,Motorcycle,2,ATMs,Impulsive,GPS tracker,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. No gang affiliation.
5228,CRM-IND-05228,Drug Offense,Roof entry,On foot,ATMs,Dawn,Iron Rod,Dark clothing,Signal,Van,1,ATMs,Professional,Signal jammer,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Violent offender. Gang affiliated: Blood Brothers.
5229,CRM-IND-05229,Theft,Fire escape,Bike escape,Jewelry shops,Afternoon (12PM-3PM),Pistol,Dark clothing,Telegram,Van,4,Parked vehicles,Opportunistic,Hacking tools,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Violent offender. Gang affiliated: Blood Brothers.
5230,CRM-IND-05230,Sexual Offense,Not applicable,On foot,ATMs,Evening (6PM-9PM),None,Uniform disguise,Prepaid SIM,Truck,1,Parked vehicles,Professional,Hacking tools,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Habitual Offender offender. Gang affiliated: Vishrantwadi Boys.
5231,CRM-IND-05231,Murder,Front door,On foot,Elderly people,Early morning (3AM-6AM),None,Workman overalls,Prepaid SIM,Auto rickshaw,1,Festival crowds,Impulsive,None,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. No gang affiliation.
5232,CRM-IND-05232,Murder,Lock picking,On foot,Parked vehicles,Evening (6PM-9PM),None,Formal attire,Prepaid SIM,Motorcycle,5,Festival crowds,Opportunistic,Fake documents,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
5233,CRM-IND-05233,Drug Offense,Fire escape,Hiding in crowd,Jewelry shops,Early morning (3AM-6AM),Axe,Formal attire,Coded language,Motorcycle,1,Parked vehicles,Impulsive,Fake documents,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Organized Crime offender. No gang affiliation.
5234,CRM-IND-05234,Drug Offense,Lock picking,Through lanes,Jewelry shops,Afternoon (12PM-3PM),Iron Rod,Helmet and visor,Face to face,Car,4,Jewelry shops,Professional,Fake documents,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
5235,CRM-IND-05235,Theft,Fire escape,Taxi,ATMs,Early morning (3AM-6AM),Chain,Workman overalls,Face to face,Stolen vehicle,2,Parked vehicles,Impulsive,Lock pick set,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Non-violent offender. Gang affiliated: Snake Eyes.
5236,CRM-IND-05236,Murder,Roof entry,Bus,Elderly people,Dusk,Chain,Dark clothing,Hand signals,Auto rickshaw,0,Women walking alone,Impulsive,Fake documents,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Non-violent offender. No gang affiliation.
5237,CRM-IND-05237,Extortion,Door break,On foot,ATMs,Midnight,Pistol,Dark clothing,WhatsApp,Van,4,Offices after hours,Impulsive,Skeleton keys,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Violent offender. No gang affiliation.
5238,CRM-IND-05238,Extortion,Front door,On foot,Isolated houses,Afternoon (12PM-3PM),Machete,Face mask and cap,Coded language,On foot,3,Street vendors,Moderately Planned,Hacking tools,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Organized Crime offender. No gang affiliation.
5239,CRM-IND-05239,Cybercrime,Front door,Train,Banks,Midnight,None,Black hoodie,Face to face,Van,0,Festival crowds,Impulsive,Lock pick set,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Violent offender. No gang affiliation.
5240,CRM-IND-05240,Theft,Window break,Through lanes,Offices after hours,Dawn,Cricket Bat,Workman overalls,Prepaid SIM,Truck,2,Banks,Opportunistic,Skeleton keys,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
5241,CRM-IND-05241,Theft,Key duplication,Bus,IT parks,Dawn,Chain,Formal attire,WhatsApp,Van,0,Jewelry shops,Moderately Planned,Hacking tools,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. No gang affiliation.
5242,CRM-IND-05242,Kidnapping,Roof entry,Bus,IT parks,Late night (11PM-3AM),Sword,Dark clothing,Hand signals,Auto rickshaw,0,Parked vehicles,Highly Planned,GPS tracker,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Non-violent offender. No gang affiliation.
5243,CRM-IND-05243,Robbery,Not applicable,Bus,Street vendors,Late night (11PM-3AM),Sword,Workman overalls,Coded language,Stolen vehicle,6,Banks,Opportunistic,Night vision,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Violent offender. No gang affiliation.
5244,CRM-IND-05244,Robbery,Lock picking,Auto rickshaw,College students,Early morning (3AM-6AM),None,Helmet and visor,Signal,Tempo,4,Street vendors,Impulsive,Skeleton keys,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
5245,CRM-IND-05245,Extortion,Fire escape,On foot,IT parks,Dawn,None,Dark clothing,WhatsApp,On foot,2,ATMs,Highly Planned,Hacking tools,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Non-violent offender. No gang affiliation.
5246,CRM-IND-05246,Kidnapping,Front door,Train,Festival crowds,Dusk,Chain,Workman overalls,Coded language,Car,3,IT parks,Opportunistic,None,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. White Collar offender. No gang affiliation.
5247,CRM-IND-05247,Kidnapping,Front door,Taxi,College students,Afternoon (12PM-3PM),Iron Rod,Casual clothes,Face to face,Stolen vehicle,4,College students,Opportunistic,None,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Habitual Offender offender. No gang affiliation.
5248,CRM-IND-05248,Kidnapping,Lock picking,Train,Parked vehicles,Early morning (3AM-6AM),None,Uniform disguise,Prepaid SIM,Car,4,Festival crowds,Moderately Planned,Lock pick set,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
5249,CRM-IND-05249,Kidnapping,Key duplication,Bus,IT parks,Dawn,Cricket Bat,Casual clothes,Telegram,Van,3,Street vendors,Impulsive,GPS tracker,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. White Collar offender. No gang affiliation.
5250,CRM-IND-05250,Theft,Key duplication,Hiding in crowd,Jewelry shops,Early morning (3AM-6AM),Cricket Bat,Sports wear,Prepaid SIM,Bicycle,4,Street vendors,Professional,None,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. White Collar offender. Gang affiliated: Wagh Mandali.
5251,CRM-IND-05251,Assault,Lock picking,Train,Jewelry shops,Midnight,None,Black hoodie,Face to face,Tempo,3,ATMs,Highly Planned,None,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Habitual Offender offender. Gang affiliated: Iron Fist.
5252,CRM-IND-05252,Cybercrime,Window break,Taxi,Festival crowds,Dawn,Chain,Face mask and cap,Telegram,Stolen vehicle,6,Construction sites,Opportunistic,GPS tracker,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
5253,CRM-IND-05253,Assault,Not applicable,Bike escape,IT parks,Late night (11PM-3AM),Iron Rod,Uniform disguise,Face to face,Car,1,Elderly people,Moderately Planned,Hacking tools,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. White Collar offender. No gang affiliation.
5254,CRM-IND-05254,Murder,Wall breach,Hiding in crowd,Jewelry shops,Morning (6AM-10AM),Pistol,Formal attire,Signal,Bicycle,1,College students,Highly Planned,Fake documents,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Organized Crime offender. No gang affiliation.
5255,CRM-IND-05255,Theft,Front door,Auto rickshaw,Jewelry shops,Early morning (3AM-6AM),Sword,Workman overalls,Coded language,Bicycle,1,Street vendors,Highly Planned,None,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. White Collar offender. Gang affiliated: Dhole Patti Gang.
5256,CRM-IND-05256,Kidnapping,Back door,Bus,Festival crowds,Dawn,Sword,Formal attire,Face to face,Tempo,2,Festival crowds,Highly Planned,Lock pick set,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Organized Crime offender. No gang affiliation.
5257,CRM-IND-05257,Cybercrime,Lock picking,Train,Women walking alone,Early morning (3AM-6AM),Axe,Sports wear,Signal,Motorcycle,3,IT parks,Professional,Signal jammer,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Non-violent offender. No gang affiliation.
5258,CRM-IND-05258,Robbery,Fire escape,Taxi,College students,Early morning (3AM-6AM),Chain,Workman overalls,Hand signals,Bicycle,3,Elderly people,Moderately Planned,None,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Non-violent offender. No gang affiliation.
5259,CRM-IND-05259,Kidnapping,Roof entry,Through lanes,Construction sites,Dawn,None,Workman overalls,Coded language,Stolen vehicle,1,IT parks,Highly Planned,Skeleton keys,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
5260,CRM-IND-05260,Theft,Door break,Auto rickshaw,Offices after hours,Early morning (3AM-6AM),Axe,Casual clothes,Prepaid SIM,Van,0,College students,Professional,Hacking tools,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Non-violent offender. No gang affiliation.
5261,CRM-IND-05261,Drug Offense,Not applicable,Auto rickshaw,IT parks,Late night (11PM-3AM),None,Black hoodie,WhatsApp,Bicycle,4,Street vendors,Highly Planned,None,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Organized Crime offender. No gang affiliation.
5262,CRM-IND-05262,Drug Offense,Roof entry,Bus,Construction sites,Late night (11PM-3AM),None,Helmet and visor,Telegram,On foot,1,Construction sites,Highly Planned,None,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. White Collar offender. Gang affiliated: Cobra Unit.
5263,CRM-IND-05263,Fraud,Fire escape,Bus,Jewelry shops,Morning (6AM-10AM),Cricket Bat,Dark clothing,Telegram,Van,2,ATMs,Opportunistic,None,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Non-violent offender. No gang affiliation.
5264,CRM-IND-05264,Robbery,Roof entry,Taxi,Women walking alone,Morning (6AM-10AM),None,Uniform disguise,WhatsApp,Tempo,6,Women walking alone,Highly Planned,Skeleton keys,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. White Collar offender. Gang affiliated: Fire Eagles.
5265,CRM-IND-05265,Murder,Back door,Car escape,ATMs,Late night (11PM-3AM),Knife,Black hoodie,Prepaid SIM,Motorcycle,0,ATMs,Highly Planned,None,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Non-violent offender. Gang affiliated: Vishrantwadi Boys.
5266,CRM-IND-05266,Fraud,Fire escape,Through lanes,Offices after hours,Afternoon (12PM-3PM),Axe,Dark clothing,Signal,Truck,0,Construction sites,Professional,Lock pick set,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
5267,CRM-IND-05267,Murder,Fire escape,Taxi,ATMs,Midnight,Sword,Sports wear,Signal,Car,5,College students,Moderately Planned,None,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Violent offender. No gang affiliation.
5268,CRM-IND-05268,Sexual Offense,Door break,Hiding in crowd,Offices after hours,Early morning (3AM-6AM),Cricket Bat,Uniform disguise,Face to face,Bicycle,5,Banks,Highly Planned,Lock pick set,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
5269,CRM-IND-05269,Cybercrime,Front door,Train,Isolated houses,Evening (6PM-9PM),None,Sports wear,Coded language,SUV,4,College students,Professional,Hacking tools,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. No gang affiliation.
5270,CRM-IND-05270,Drug Offense,Fire escape,On foot,Elderly people,Dusk,Hammer,Helmet and visor,Face to face,Car,5,Jewelry shops,Highly Planned,Lock pick set,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Non-violent offender. Gang affiliated: Ghost Riders.
5271,CRM-IND-05271,Theft,Door break,On foot,Jewelry shops,Dusk,None,Sports wear,Prepaid SIM,Truck,2,Street vendors,Highly Planned,None,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. White Collar offender. Gang affiliated: Shinde Group.
5272,CRM-IND-05272,Drug Offense,Wall breach,Train,College students,Dusk,None,Black hoodie,Signal,Car,4,Banks,Moderately Planned,None,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Habitual Offender offender. No gang affiliation.
5273,CRM-IND-05273,Assault,Window break,Bus,Festival crowds,Midnight,Knife,Black hoodie,Telegram,Motorcycle,5,Banks,Professional,Fake documents,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Violent offender. No gang affiliation.
5274,CRM-IND-05274,Kidnapping,Not applicable,Auto rickshaw,ATMs,Dawn,Machete,Black hoodie,Face to face,Bicycle,0,Street vendors,Highly Planned,None,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as High risk. White Collar offender. Gang affiliated: Shinde Group.
5275,CRM-IND-05275,Murder,Roof entry,Bike escape,Banks,Afternoon (12PM-3PM),Hammer,Helmet and visor,Signal,Truck,0,Parked vehicles,Professional,Fake documents,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as High risk. White Collar offender. Gang affiliated: Vishrantwadi Boys.
5276,CRM-IND-05276,Assault,Wall breach,Bus,Elderly people,Evening (6PM-9PM),Cricket Bat,Formal attire,Telegram,Truck,2,Banks,Moderately Planned,Hacking tools,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Non-violent offender. No gang affiliation.
